,behavior,brainarea,cluster,date,depth,ephys,info,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality
231,"[None, 'band023_am_tuning_curve_20170322l.h5', 'band023_am_tuning_curve_20170322m.h5', 'band023_bandwidth_am_20170322n.h5', 'band023_bandwidth_am_20170322o.h5', 'band023_bandwidth_am_20170322p.h5', 'band023_am_tuning_curve_20170322q.h5']",right_thalamus,6,2017-03-22,3540,"['2017-03-22_12-18-22', '2017-03-22_12-21-32', '2017-03-22_12-33-05', '2017-03-22_12-39-51', '2017-03-22_12-59-40', '2017-03-22_13-20-06', '2017-03-22_13-40-07']",middleDiD,0.1407634346,24155,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,4,1
232,"[None, 'band023_am_tuning_curve_20170322l.h5', 'band023_am_tuning_curve_20170322m.h5', 'band023_bandwidth_am_20170322n.h5', 'band023_bandwidth_am_20170322o.h5', 'band023_bandwidth_am_20170322p.h5', 'band023_am_tuning_curve_20170322q.h5']",right_thalamus,2,2017-03-22,3540,"['2017-03-22_12-18-22', '2017-03-22_12-21-32', '2017-03-22_12-33-05', '2017-03-22_12-39-51', '2017-03-22_12-59-40', '2017-03-22_13-20-06', '2017-03-22_13-40-07']",middleDiD,1.902173913,36433,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,6,1
235,"[None, 'band023_am_tuning_curve_20170323a.h5', 'band023_am_tuning_curve_20170323b.h5', 'band023_bandwidth_am_20170323c.h5', 'band023_bandwidth_am_20170323d.h5', 'band023_am_tuning_curve_20170323e.h5']",right_thalamus,4,2017-03-23,3300,"['2017-03-23_10-13-11', '2017-03-23_10-17-10', '2017-03-23_10-27-50', '2017-03-23_10-34-32', '2017-03-23_10-54-47', '2017-03-23_11-13-06']",posteriorDiI,0.4376252241,18967,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,2,1
239,"[None, 'band023_am_tuning_curve_20170323a.h5', 'band023_am_tuning_curve_20170323b.h5', 'band023_bandwidth_am_20170323c.h5', 'band023_bandwidth_am_20170323d.h5', 'band023_am_tuning_curve_20170323e.h5']",right_thalamus,2,2017-03-23,3300,"['2017-03-23_10-13-11', '2017-03-23_10-17-10', '2017-03-23_10-27-50', '2017-03-23_10-34-32', '2017-03-23_10-54-47', '2017-03-23_11-13-06']",posteriorDiI,0.483214649,3933,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,3,1
259,"[None, 'band023_am_tuning_curve_20170323a.h5', 'band023_am_tuning_curve_20170323b.h5', 'band023_bandwidth_am_20170323c.h5', 'band023_bandwidth_am_20170323d.h5', 'band023_am_tuning_curve_20170323e.h5']",right_thalamus,6,2017-03-23,3300,"['2017-03-23_10-13-11', '2017-03-23_10-17-10', '2017-03-23_10-27-50', '2017-03-23_10-34-32', '2017-03-23_10-54-47', '2017-03-23_11-13-06']",posteriorDiI,0.199123855,2512,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,8,1
263,"[None, 'band023_am_tuning_curve_20170323f.h5', 'band023_am_tuning_curve_20170323g.h5', 'band023_bandwidth_am_20170323h.h5', 'band023_am_tuning_curve_20170323i.h5']",right_thalamus,4,2017-03-23,3532,"['2017-03-23_11-21-51', '2017-03-23_11-25-34', '2017-03-23_11-36-10', '2017-03-23_11-44-33', '2017-03-23_12-02-59']",posteriorDiI,0.0,3528,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,2,1
265,"[None, 'band023_am_tuning_curve_20170323f.h5', 'band023_am_tuning_curve_20170323g.h5', 'band023_bandwidth_am_20170323h.h5', 'band023_am_tuning_curve_20170323i.h5']",right_thalamus,6,2017-03-23,3532,"['2017-03-23_11-21-51', '2017-03-23_11-25-34', '2017-03-23_11-36-10', '2017-03-23_11-44-33', '2017-03-23_12-02-59']",posteriorDiI,0.0444510298,6750,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,2,1
272,"[None, 'band023_am_tuning_curve_20170323f.h5', 'band023_am_tuning_curve_20170323g.h5', 'band023_bandwidth_am_20170323h.h5', 'band023_am_tuning_curve_20170323i.h5']",right_thalamus,4,2017-03-23,3532,"['2017-03-23_11-21-51', '2017-03-23_11-25-34', '2017-03-23_11-36-10', '2017-03-23_11-44-33', '2017-03-23_12-02-59']",posteriorDiI,0.0,4077,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,5,1
285,"[None, 'band023_am_tuning_curve_20170323f.h5', 'band023_am_tuning_curve_20170323g.h5', 'band023_bandwidth_am_20170323h.h5', 'band023_am_tuning_curve_20170323i.h5']",right_thalamus,5,2017-03-23,3532,"['2017-03-23_11-21-51', '2017-03-23_11-25-34', '2017-03-23_11-36-10', '2017-03-23_11-44-33', '2017-03-23_12-02-59']",posteriorDiI,0.404244568,1980,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,7,1
289,"[None, 'band023_am_tuning_curve_20170323f.h5', 'band023_am_tuning_curve_20170323g.h5', 'band023_bandwidth_am_20170323h.h5', 'band023_am_tuning_curve_20170323i.h5']",right_thalamus,3,2017-03-23,3532,"['2017-03-23_11-21-51', '2017-03-23_11-25-34', '2017-03-23_11-36-10', '2017-03-23_11-44-33', '2017-03-23_12-02-59']",posteriorDiI,0.2257846015,8859,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,8,1
292,"[None, 'band023_am_tuning_curve_20170323f.h5', 'band023_am_tuning_curve_20170323g.h5', 'band023_bandwidth_am_20170323h.h5', 'band023_am_tuning_curve_20170323i.h5']",right_thalamus,6,2017-03-23,3532,"['2017-03-23_11-21-51', '2017-03-23_11-25-34', '2017-03-23_11-36-10', '2017-03-23_11-44-33', '2017-03-23_12-02-59']",posteriorDiI,0.0,1656,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,8,1
296,"[None, 'band023_am_tuning_curve_20170324a.h5', 'band023_am_tuning_curve_20170324b.h5', 'band023_bandwidth_am_20170324c.h5', 'band023_bandwidth_am_20170324d.h5', 'band023_am_tuning_curve_20170324e.h5']",left_thalamus,5,2017-03-24,3000,"['2017-03-24_10-23-22', '2017-03-24_10-26-51', '2017-03-24_10-37-39', '2017-03-24_10-48-00', '2017-03-24_11-09-03', '2017-03-24_11-27-30']",anteriorDiI,0.3348961822,1494,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,1,1
301,"[None, 'band023_am_tuning_curve_20170324a.h5', 'band023_am_tuning_curve_20170324b.h5', 'band023_bandwidth_am_20170324c.h5', 'band023_bandwidth_am_20170324d.h5', 'band023_am_tuning_curve_20170324e.h5']",left_thalamus,4,2017-03-24,3000,"['2017-03-24_10-23-22', '2017-03-24_10-26-51', '2017-03-24_10-37-39', '2017-03-24_10-48-00', '2017-03-24_11-09-03', '2017-03-24_11-27-30']",anteriorDiI,0.0229029488,17466,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,3,1
307,"[None, 'band023_am_tuning_curve_20170324a.h5', 'band023_am_tuning_curve_20170324b.h5', 'band023_bandwidth_am_20170324c.h5', 'band023_bandwidth_am_20170324d.h5', 'band023_am_tuning_curve_20170324e.h5']",left_thalamus,3,2017-03-24,3000,"['2017-03-24_10-23-22', '2017-03-24_10-26-51', '2017-03-24_10-37-39', '2017-03-24_10-48-00', '2017-03-24_11-09-03', '2017-03-24_11-27-30']",anteriorDiI,1.7820213252,74467,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,8,1
313,"[None, 'band023_am_tuning_curve_20170324f.h5', 'band023_am_tuning_curve_20170324g.h5', 'band023_bandwidth_am_20170324h.h5', 'band023_am_tuning_curve_20170324i.h5']",left_thalamus,3,2017-03-24,3106,"['2017-03-24_11-36-24', '2017-03-24_11-39-07', '2017-03-24_11-49-44', '2017-03-24_11-56-21', '2017-03-24_12-14-57']",anteriorDiI,1.004657352,15031,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,6,1
324,"[None, 'band023_am_tuning_curve_20170324j.h5', 'band023_am_tuning_curve_20170324k.h5', 'band023_bandwidth_am_20170324l.h5', 'band023_am_tuning_curve_20170324m.h5']",left_thalamus,4,2017-03-24,3350,"['2017-03-24_12-23-06', '2017-03-24_12-26-18', '2017-03-24_12-37-33', '2017-03-24_12-42-45', '2017-03-24_13-01-14']",anteriorDiI,0.1239157373,808,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,6,1
326,"[None, 'band023_am_tuning_curve_20170324j.h5', 'band023_am_tuning_curve_20170324k.h5', 'band023_bandwidth_am_20170324l.h5', 'band023_am_tuning_curve_20170324m.h5']",left_thalamus,6,2017-03-24,3350,"['2017-03-24_12-23-06', '2017-03-24_12-26-18', '2017-03-24_12-37-33', '2017-03-24_12-42-45', '2017-03-24_13-01-14']",anteriorDiI,0.6491258439,57771,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,7,1
333,[None],left_thalamus,2,2017-03-26,3135,['2017-03-26_14-30-25'],middleDiD,0.3533568905,284,['noisebursts'],band023,4,1
348,"[None, 'band023_am_tuning_curve_20170326a.h5', 'band023_am_tuning_curve_20170326b.h5']",left_thalamus,4,2017-03-26,3200,"['2017-03-26_14-35-21', '2017-03-26_14-37-14', '2017-03-26_14-48-06']",middleDiD,0.0490436488,2040,"['noisebursts', 'tuningCurve', 'AM']",band023,4,1
